,teks,label
0,"Anjir lah, kesel banget gue hari ini! Semua serba salah!",Marah
1,"Fix, ini orang bikin naik darah aja kerjaannya.",Marah
2,"Gue udah sabar-sabar, tapi kok malah diinjek-injek sih!",Marah
3,WTF! Gak abis pikir gue sama kelakuan dia.,Marah
4,"Panas banget hati gue, sumpah!",Marah
5,"Bodo amat lah, capek gue marah-marah terus.",Marah
6,Ini kenapa sih semuanya jadi berantakan gini? Bete!,Marah
7,"Awas aja ya kalo ketemu, abis lo sama gue!",Marah
8,"Gue gak terima diginiin, bangke emang!",Marah
9,"Keselnya udah di ubun-ubun, pengen teriak!",Marah
10,"Ah elah, kenapa sih selalu gue yang kena sial?",Sedih
11,"Nyesek banget anjir, gak nyangka bakal gini akhirnya.",Sedih
12,"Rasanya pengen nangis kejer, tapi malu.",Sedih
13,"Hancur banget mood gue hari ini, parah.",Sedih
14,Kok dia tega sih ninggalin gue pas lagi sayang-sayangnya?,Sedih
15,"Duh, jadi galau gini kan. Kangen mantan.",Sedih
16,"Ngerasa kosong banget, gak tau mesti ngapain lagi.",Sedih
17,Kenapa ya hidup gue gini-gini amat? Sedih bet.,Sedih
18,"Pengen nyerah aja rasanya, capek banget.",Sedih
19,Kecewa berat sih sama keputusan dia.,Sedih
20,ASIIIIK! Akhirnya dapet juga barang yang gue incer!,Senang
21,Happy banget gilaaa! Gak nyangka bisa seberuntung ini.,Senang
22,"Wihuuu, hari ini berasa indah banget deh!",Senang
23,"Sumpah, ini berita terbaik yang gue denger minggu ini. Yesss!",Senang
24,"Gak bisa berhenti senyum-senyum sendiri nih gue, haha.",Senang
25,Akhirnya liburan juga! Bebas merdeka!,Senang
26,Mood booster banget nih kejadian barusan. Thanks God!,Senang
27,"Senengnya gak ketulungan, pengen traktir semua orang!",Senang
28,"Alhamdulillah, lancar jaya semua urusan hari ini. Mantap!",Senang
29,"Bahagia itu sederhana, kayak gini nih contohnya.",Senang
30,"Anjrit, deadline udah di depan mata, belum kelar juga!",Stress
31,"Gila, pusing banget mikirin tugas numpuk kayak gunung.",Stress
32,"Duh, deg-degan parah nungguin pengumuman besok.",Stress
33,"Perut gue mules nih, kebanyakan mikir kayaknya.",Stress
34,Bisa gak sih waktu berhenti bentar? Gak sanggup gue.,Stress
35,"Ini gimana caranya anjir, udah mentok banget otaknya.",Stress
36,"Ngerasa cemas banget, takut hasilnya gak sesuai harapan.",Stress
37,"Stres berat, butuh healing secepatnya!",Stress
38,"Aduh, kok jadi overthinking gini sih gue?",Stress
39,"Berasa dikejar-kejar setan, panik banget!",Stress
40,"Alhamdulillah, akhirnya masalah kemarin kelar juga. Lega banget.",Bersyukur
41,"Makasih ya Allah, masih dikasih kesempatan buat ngerasain ini.",Bersyukur
42,"Gila sih, untung banget tadi gak kenapa-napa. Bersyukur pol.",Bersyukur
43,"Walaupun sederhana, tapi nikmat banget rasanya. Syukurilah.",Bersyukur
44,"Setelah semua drama, akhirnya bisa tenang juga. Makasih Tuhan.",Bersyukur
45,Bersyukur banget punya temen-temen yang selalu support.,Bersyukur
46,"Ngerasa adem banget hati ini, semua karena-Mu.",Bersyukur
47,Gak nyangka bisa lewatin ini semua. Alhamdulillahirobbilalamin.,Bersyukur
48,Setiap hari selalu ada hal kecil yang bisa disyukuri ternyata.,Bersyukur
49,Terima kasih atas semua berkah hari ini. Bener-bener ngerasa blessed.,Bersyukur
50,"Asli, kesel banget sama koneksi internet hari ini, bikin emosi!",Marah
51,"Udah bagus-bagus mood, eh dirusak sama notif gak penting. Kampret.",Marah
52,Pengen nonjok tembok saking keselnya!,Marah
53,Ini orang apa gak punya otak sih? Bikin geram aja!,Marah
54,"Sumpah, pengen menghilang aja dari dunia ini. Capek.",Sedih
55,"Rasanya kayak diputusin pas lagi sayang-sayangnya, versi pertemanan.",Sedih
56,Kok hidup gini amat ya? Pengen peluk.,Sedih
57,"Nangis diem-diem di kamar, biar gak ada yang tau.",Sedih
58,Yesss! Akhirnya menang juga! Gak sia-sia begadang!,Senang
59,Gak nyangka dapet surprise seru hari ini! Happy parah!,Senang
60,"Senyum gue ngembang banget nih, mood lagi bagus banget soalnya.",Senang
61,"Wagelaseh, dapet diskonan gede banget! Auto kalap!",Senang
62,"Duh, besok presentasi penting, belum siap materi sama sekali. Panik!",Stress
63,Mikirin masa depan kok jadi serem gini ya? Cemas banget.,Stress
64,"Kepala rasanya mau pecah, kebanyakan pikiran.",Stress
65,Jantung kayak mau copot nungguin kabar dari dia.,Stress
66,"Alhamdulillah, dapet rejeki nomplok hari ini. Makasih banyak ya Allah.",Bersyukur
67,Bersyukur banget masih bisa ngumpul bareng keluarga lengkap.,Bersyukur
68,"Walaupun capek, tapi liat hasilnya jadi bersyukur banget udah usaha.",Bersyukur
69,Tenang banget rasanya habis cerita semua uneg-uneg. Plong.,Bersyukur
70,Gue udah capek banget ngadepin tingkah lo yang seenaknya!,Marah
71,Bisa diem gak sih? Bikin kuping panas aja dari tadi!,Marah
72,Kalau emang gak niat bantu mending gak usah banyak bacot deh!,Marah
73,"Kecewa sih, kirain lo beda ternyata sama aja.",Sedih
74,Nyesek itu ketika harapan gak sesuai kenyataan.,Sedih
75,Kadang pengen pura-pura bahagia aja biar orang lain gak khawatir.,Sedih
76,"AAAAAAAAA SENENG BANGET GUE HARI INI, LUV BANGET!",Senang
77,"Akhirnya goal juga project yang gue kerjain dari lama, bangga!",Senang
78,"Dapet pujian dari dosen killer? Wih, mantap jiwa!",Senang
79,"Aduh, gimana nih kalau nanti gagal? Overthinking mode on.",Stress
80,"Belum apa-apa udah takut duluan, payah emang gue.",Stress
81,"Pikiran kalut banget, gak bisa fokus sama sekali.",Stress
